stop_id,stop_name,stop_lat,stop_lon
14001,De La Sabana,4.60602494,-74.08251114
12000,Puente Aranda,4.62556721,-74.10461377
10001,Country Sur,4.57139572,-74.09850883
07110,Paloquemao,4.61799507,-74.08858928
12004,San Fason KR 22,4.60981799,-74.08671226
12001,Carrera 43,4.62280517,-74.10141668
07106,Campín,4.64345924,-74.07879784
07004,Venecia,4.59571313,-74.14159012
09106,Nariño,4.58629883,-74.09382660
09118,Marly,4.63951515,-74.06637045
07200,Tygua - San José,4.59977591,-74.08872537
06002,Normandía,4.66732260,-74.11231782
04108,Polo,4.67224842,-74.06583827
02200,Alcalá,4.72076577,-74.05144057
07001,Perdomo,4.59568824,-74.16341884
07010,Bosa,4.59693732,-74.17918435
09001,Molinos,4.55683171,-74.12173166
07003,Sevillana,4.59529816,-74.14767232
04000,Portal de la 80,4.70952296,-74.11052456
12003,Ricaurte,4.61283803,-74.09009135
07008,NQS - CL 30 Sur,4.59529801,-74.11581228
03006,Niza - CL 127,4.71168779,-74.07222629
02103,Mazurén,4.73547088,-74.04897041
03011,Suba - CL 100,4.69003157,-74.06540117
14005,Las Aguas,4.60266984,-74.06817769
02303,Calle 85,4.67241739,-74.05941206
10002,AV. 1 Mayo,4.57572274,-74.09456268
05103,Marsella,4.62962336,-74.12858953
06102,Salitre - El Greco,4.65130342,-74.10185856
08002,Biblioteca,4.57032486,-74.13025087
09116,AV. 39,4.62859306,-74.06823856
07108,AV. El Dorado,4.63026213,-74.07976893
07007,NQS - CL 38A Sur,4.59398803,-74.12294152
07103,AV. Chile,4.66689641,-74.07398957
07505,Leon XIII,4.59201635,-74.19337284
09110,AV. Jiménez,4.60314290,-74.07913104
06103,CAN,4.64671936,-74.09893248
07107,U. Nacional,4.63616818,-74.07937689
07503,San Mateo,4.58543136,-74.20659531
04105,Carrera 53,4.68193956,-74.07736461
12002,CDS - Carrera 32,4.61735910,-74.09514550
06108,Plaza de la Democracia,4.62508709,-74.07960195
10003,Ciudad Jardín,4.58121677,-74.09042752
09105,Fucha,4.58322682,-74.09893378
04102,AV. Boyacá,4.69390171,-74.08698686
03010,Puentelargo,4.69319361,-74.06707121
04101,Minuto de Dios,4.69669576,-74.09149200
07102,NQS - Calle 75,4.67043543,-74.07122446
09110,AV. Jiménez,4.60226190,-74.08070210
09119,Calle 57,4.64379318,-74.06558740
09113,Calle 22,4.61212995,-74.07441784
02300,Calle 100,4.68434548,-74.05750794
02201,Prado,4.71393371,-74.05258664
02001,Cl 187,4.76178408,-74.04472315
09107,Hortúa,4.59079985,-74.09021346
05002,Biblioteca Tintal,4.63996012,-74.15698977
03005,Suba - Av. Boyacá,4.71988287,-74.07452333
03009,Shaio,4.69918067,-74.06975627
09117,Calle 45,4.63337410,-74.06738051
02102,Cardio Infantil,4.74154193,-74.04796835
03001,La Campiña,4.74271815,-74.09119976
02101,Toberín,4.74733097,-74.04703429
09115,Profamilia,4.62221301,-74.06958764
09002,Consuelo,4.56016875,-74.12383771
05101,Mandalay,4.63071043,-74.14002190
03012,Suba - CL 95,4.68428551,-74.06303712
09108,Hospital,4.59486786,-74.08629931
02202,Calle 127,4.70524465,-74.05401073
10009,Museo Nacional,4.61410007,-74.06962210
07506,La Despensa,4.59495435,-74.18746863
02302,Virrey,4.67739343,-74.05858701
09100,Calle 40 S.,4.57596786,-74.11952549
10008,San Diego,4.61113974,-74.07136878
10006,San Victorino,4.60177387,-74.07685397
06111,Universidades,4.60533686,-74.06686963
10010,Hospitales,4.58944781,-74.08474329
03003,21 Ángeles,4.73513203,-74.08032644
04004,Granja,4.69986723,-74.09699958
08001,Parque,4.56841787,-74.13489203
07105,Movistar Arena,4.65033029,-74.07828379
05105,Pradera,4.62859531,-74.11905023
09104,Restrepo,4.58176282,-74.10152688
07006,General Santander,4.59360505,-74.12826670
07009,SENA,4.59754300,-74.11020509
06101,El Tiempo - Maloka,4.65590347,-74.10508264
07002,Madelena,4.59624121,-74.15725663
05001,Patio Bonito,4.63482790,-74.16271887
05107,Américas - KR 53A,4.62776126,-74.11111797
06105,Quinta Paredes,4.63641847,-74.09232196
09000,Portal de Usme,4.53079248,-74.12017173
04106,Carrera 47,4.67831351,-74.07372650
09111,Calle 19,4.60809693,-74.07663494
04100,Granja - Carrera 77,4.69846670,-74.09483848
02104,Calle 146,4.73064684,-74.04987147
02000,Portal del Norte,4.75447203,-74.04596522
05000,Portal de las Américas,4.62828290,-74.17128277
08000,Portal del Tunal,4.57035491,-74.13981319
03007,Humedal Córdoba,4.70618274,-74.07099928
10000,Portal 20 de Julio,4.56535867,-74.09819184
07113,Santa Isabel,4.60099400,-74.10336685
05005,Transversal 86,4.63480527,-74.15326284
02204,Pepe Sierra,4.69785859,-74.05531281
04104,Avenida 68,4.68580261,-74.08035668
06100,AV. Rojas,4.66245401,-74.10910097
106A12,Villa Anita Usme,4.49089412009,-74.11913388026
496A12,Br. Serranías I,4.49670153467,-74.11487993456
495A12,Desarrollo Brazuelos I,4.49699543873,-74.11428646389
538A12,Br. Comuneros,4.49749300017,-74.10992800004
111A12,Br. Brazuelos,4.49826538319,-74.11808376907
466B12,Br. El Progreso,4.49976247915,-74.10246437854
469A12,Br. La Reforma,4.50033568830,-74.10586796754
163A12,Pq. El Virrey,4.50118902636,-74.11054298195
162A12,Pq. El Virrey,4.50125487392,-74.10987954167
062A12,IED Monteblanco,4.50173842498,-74.11677936942
160A12,IED El Virrey,4.50217168099,-74.11257793205
202A12,Br. El Líbano,4.50523579792,-74.10601243202
109A13,Cl 82 S,4.50527100007,-74.08851528565
058A12,Br. Tenerife,4.50553706993,-74.11473122296
023A12,Br. Chuniza I,4.50651124765,-74.11217288895
024A12,Br. Gran Yomasa,4.50675509572,-74.11232413821
041A12,Plaza de Mercado Santa Librada,4.50923445512,-74.11433547042
208A12,Br. Compostela I,4.50942868060,-74.10192362931
193A12,Br. La Andrea,4.50959204609,-74.11359246273
206A12,Br. El Curubo,4.51003161144,-74.10409009716
508A12,Br. Marichuela,4.51141503103,-74.11843385163
507A12,Br. Marichuela,4.51212182290,-74.12005717000
479A12,Br. Santa Librada,4.51256558608,-74.11248029886
038B12,C.C. Santa Librada,4.51414483037,-74.11586448297
131A13,Br. La Flora,4.51428534543,-74.08942348875
112A12,Br. Santa Librada,4.51693087568,-74.12004820758
020A12,Br. La Aurora,4.52057939947,-74.12297581705
475A12,Br. Cartagena,4.52355376206,-74.12030237776
031A12,Br. Cartagena,4.52376163858,-74.11822722060
093A11,Cementerio Parque Serafín,4.52588851262,-74.12668267237
121A12,Br. Santa Martha,4.52670317154,-74.11713768953
BD-066A,Portal Usme,4.53069400000,-74.11845200034
151A13,Br. Los Libertadores,4.53235475587,-74.08862372605
440A11,Br. Arabia,4.53264495128,-74.14664287503
222A12,Br. La Fiscala Sector Rodríguez,4.53335187494,-74.10980069804
532A11,Br. San Joaquín del Vaticano,4.53397387664,-74.14183893037
330A12,Br. Fiscala Alta,4.53434154762,-74.11336103789
220A12,Ciudadela Nuevo Milenio,4.53491390741,-74.11525024971
426A12,Br. Danubio Azul,4.53703777200,-74.11488709866
238A12,Br. Danubio II,4.53858554552,-74.11159492829
545A11,Br. El Tesoro,4.53904935322,-74.14529014644
561A13,Br. Altamira Santa Teresa,4.53969855966,-74.08372886428
546A11,Br. Quiba,4.54019499256,-74.14194581174
518A12,Br. La Fiscala Sector Daza,4.54020365393,-74.11177578771
051A11,Urb. Buenavista,4.54067868631,-74.13815152255
055A13,Br. Altamira,4.54124741645,-74.08373256495
465A13,Br. Panorama,4.54160705022,-74.08552054054
052A11,Br. Casa de Teja,4.54172615184,-74.13781744474
373A13,Br. Altos del Zuque,4.54190557482,-74.08031267933
446A11,Br. La Torre,4.54194939709,-74.16273102896
554A12,Br. Diana Turbay Cultivos,4.54216399973,-74.10502199971
495A13,IED Nueva Roma,4.54217092254,-74.09652116451
174A13,Br. Altamira,4.54304559663,-74.08611127893
445A11,Col. José María Vargas Vila,4.54355081142,-74.16139913180
375A13,Br. Altos del Zuque,4.54367793295,-74.07961698257
258A12,Br. Diana Turbay Arrayanes,4.54372035972,-74.10465455421
576A11,Br. Tabor Altaloma,4.54397561266,-74.15559747061
274A11,Br. Estrella del Sur,4.54401291543,-74.14370100150
261A11,Br. Naciones Unidas,4.54451772035,-74.14970056331
