route_id,route_short_name,route_long_name,route_type
5,5,Ruta Portal Américas hasta Calle 22,3
C15,C15,Ruta Portal Tunal hasta Portal Suba,3
C50,C50,Ruta Portal Norte hasta Portal Suba,3
H54,H54,Ruta Portal Eldorado hasta Portal Usme,3
B10,B10,Ruta Portal 80 hasta Portal Norte,3
C19,C19,Ruta Banderas hasta Portal Suba,3
G45,G45,Ruta Portal Sur hasta San Mateo,3
H21,H21,Ruta Portal 80 hasta Portal Tunal,3
B74-2,B74-2,Ruta Universidades hasta Portal Norte,3
B72,B72,Ruta Portal Usme hasta Toberin,3
H15,H15,Ruta Portal Suba hasta Portal Tunal,3
D10,D10,Ruta Portal Norte hasta Portal 80,3
7,7,Ruta Portal Suba hasta Ricaurte,3
A74,A74,Ruta Toberin hasta Calle 72,3
K16,K16,Ruta Terminal hasta Portal Eldorado,3
B13,B13,Ruta Portal Tunal hasta Portal Norte,3
B11,B11,Ruta Portal Sur hasta Terminal,3
K10,K10,Ruta Portal 20 de Julio hasta Portal Eldorado,3
H20,H20,Ruta Portal 80 hasta Portal Usme,3
M51,M51,Ruta Portal Americas hasta Museo Nacional,3
8,8,Ruta Terminal hasta Guatoque - Veraguas,3
D24,D24,Ruta Universidades hasta Portal 80,3
H72,H72,Ruta Portal Norte hasta Portal Usme,3
F19,F19,Ruta Portal Suba hasta Banderas,3
A52,A52,Ruta Portal Sur hasta Flores,3
D50,D50,Ruta Portal Americas hasta Portal 80,3
G52,G52,Ruta Flores hasta Portal Sur,3
K86,K86,Ruta Hacienda Santa Bárbara  hasta Aeropuerto Eldorado,3
6,6,Ruta Portal 80 hasta Universidades,3
B71,B71,Ruta Portal Tunal hasta Portal Norte,3
M47,M47,Ruta Portal Sur hasta Museo Nacional,3
F62,F62,Ruta Portal 80 hasta Portal Americas,3
M82,M82,Ruta Clínica El Bosque  hasta Portal 20 de Julio,3
4,4,Ruta Heroes hasta Portal Sur,3
B27,B27,Ruta Portal Tunal hasta Portal Norte,3
F51,F51,Ruta Museo Nacional hasta Portal Americas,3
3,3,Ruta Plaza de la Democracia hasta Portal Usme,3
C17,C17,Ruta Portal Usme hasta Portal Suba,3
F29,F29,Ruta Portal Suba hasta Portal Americas,3
H73,H73,Ruta Toberin hasta Portal Tunal,3
G42,G42,Ruta Corferias hasta San Mateo,3
H17,H17,Ruta Portal Suba hasta Portal Usme,3
D21,D21,Ruta Portal Tunal hasta Portal 80,3
G44,G44,Ruta Simon Bolivar hasta San Mateo,3
B14,B14,Ruta Portal Americas hasta Portal Norte,3
H51,H51,Ruta Portal Norte hasta Portal Usme,3
K43,K43,Ruta San Mateo hasta Portal Eldorado,3
B12,B12,Ruta Portal Sur hasta Portal Norte,3
