route_id,route_short_name,route_long_name,route_type
2515,C105,Ruta JACQUELINE - CHAPINERO,3
2516,C11,Ruta VILLA DEL RIO - PORCIUNCULA,3
2517,C115,Ruta JAQUELINE - EL RETIRO,3
2521,C33A,Ruta TIERRA BUENA - CC ANDINO,3
2522,C41,Ruta BACHUE - GERMANIA,3
2525,E61,Ruta CASABLANCA - PORCIUNCULA,3
2540,13-2,Ruta PROVIDENCIA ALTA - RESTREPO,3
2528,P500,Ruta AEROPUERTO - CENTRO ANDINO,3
2547,T55,Ruta PORTAL SUBA - SUBA SALITRE,3
2529,SE10,Ruta ENGATIVA CENTRO - GERMANIA,3
2531,T12,Ruta QUINTAS DEL SUR - CALLE 100,3
2532,T23,Ruta FONTANAR DEL RIO - CENTRO,3
2533,T31,Ruta GRAN GRANADA - GERMANIA,3
2534,T40,Ruta CATALINA II - MARLY,3
2537,T795,Ruta CORPAS - ESTACI,3
2549,T56,Ruta CORTIJO - BACHUJ,3
2538,60,Ruta BACHUE - LOMAS,3
2539,10-3C,Ruta PORTAL SUR - ALAMEDA,3
2545,T25,Ruta POTOS - LIJAC,3
2546,T25,Ruta LIJAC - POTOS,3
2550,13-4,Ruta AV 1 MAYO - DIANA TURBAY,3
2551,13-5,Ruta AV 1 MAYO - PALERMO SUR,3
2556,P24,Ruta BOSA SAN JOSB - SAN BLASS,3
2761,N16,Ruta GAVIOTAS - AV 1 MAYO,3
2557,P24,Ruta SAN BLASS - BOSA SAN JOSB,3
2741,N12,Ruta BOSQUE POPULAR - LA Y,3
2562,580,Ruta BOSA SAN JOSE - ESTACION BICENTENARIO,3
2742,N12,Ruta LA Y - BOSQUE POPULAR,3
2565,283,Ruta BOSA SAN JOSE - CHICO NORTE,3
2647,N09,Ruta PARAISO - QUINTAS DEL SUR,3
2568,283,Ruta CHICO NORTE - BOSA SAN JOSE,3
2648,N06,Ruta HAYUELOS - AEROPUERTO,3
2743,N13,Ruta ALAMOS INDUSTRIAL - LA Y,3
2571,139,Ruta BOSA SAN JOSE - JUAN REY,3
2576,E16,Ruta BOSA SAN JOSE - CALLE 222,3
2585,91,Ruta BOSA SAN JOSE - PORCIUNCULA,3
2588,496,Ruta BOSA CHARLES DE GAULLE - GERMANIA,3
2744,N13,Ruta LA Y - ALAMOS INDUSTRIAL,3
2590,C29,Ruta ISLANDIA - CENTRO,3
2626,C29,Ruta CENTRO - ISLANDIA,3
2591,C110,Ruta BOSA LA ESPERANZA - BELLO HORIZONTE,3
2653,N05,Ruta GUABAL - QUINTAS DEL SUR,3
2595,599,Ruta BOSA SAN DIEGO - SUBA GAITANA,3
2600,E60,Ruta CALLE 222 - BOSA PALESTINA,3
2601,10-1,Ruta PORTAL SUR - AVENIDA BOSA,3
2604,117,Ruta LIBERTADORES - SAN BERNARDINO,3
2606,139,Ruta JUAN REY - BOSA SAN JOSE,3
2608,341,Ruta LA ESTRELLITA - METROVIVIENDA,3
2609,341,Ruta METROVIVIENDA - LA ESTRELLITA,3
2613,731,Ruta BOSA SAN JOSE - PALERMO,3
2668,2-6,Ruta PORTAL NORTE - GUAYMARAL,3
2616,94,Ruta SUBA CORPAS - BOSA SAN DIEGO,3
2686,2-3,Ruta PORTAL NORTE - SAN ANTONIO,3
2620,E16,Ruta CALLE 222 - BOSA SAN JOSE,3
2622,N04B,Ruta BOSA SAN JOSE - RESTREPO,3
2623,P23,Ruta SAN BLAS - BOSA CARBONELL,3
2639,738,Ruta JAZMIN OCCIDENTAL - SAN CRISTOBAL SUR,3
2625,112B,Ruta BACHUE - CENTRO INTERNACIONAL,3
2627,599,Ruta SUBA GAITANA - BOSA SAN DIEGO,3
2644,19-4,Ruta PEPE SIERRA - HACIENDA SANTA BARBARA,3
2628,927,Ruta BACHUE - BOSA SAN JOSE,3
2629,C135,Ruta BOSA SAN JOSE - GERMANIA,3
2630,544A,Ruta BOSA ISLANDIA - GERMANIA,3
2633,120,Ruta BOSA SAN JOSE - EGIPTO,3
2645,13-13,Ruta PORTAL 20 JULIO - RESURRECCION,3
2634,580,Ruta ESTACION BICENTENARIO - BOSA SAN JOSE,3
2635,99,Ruta BOSA LA PRIMAVERA - GERMANIA,3
2636,C110,Ruta BELLO HORIZONTE - BOSA LA ESPERANZA,3
2637,C15,Ruta BOSA SAN PEDRO - CHAPINERO,3
2646,N08,Ruta ALPES - QUINTAS DEL SUR,3
2641,465,Ruta SAN ANTONIO NORTE - BOSA SAN JOSE,3
2642,201B,Ruta BACHUE - GRAN ESTACION,3
2643,914A,Ruta USME CENTRO - TEUSAQUILLO,3
2649,12,Ruta SAN PABLO - PORCIUNCULA,3
2650,291,Ruta LIJACA - TIERRA BUENA,3
2651,291,Ruta TIERRA BUENA - LIJACA,3
2652,N07,Ruta HACIENDA SANTA BARBARA - TERMINAL,3
2654,10-12,Ruta QUIBA - QUIBA,3
2655,624,Ruta 20 DE JULIO - VERBENAL DEL SUR,3
2656,624,Ruta VERBENAL DEL SUR - 20 DE JULIO,3
2657,N04A,Ruta PUENTE DE GUADUA - GERMANIA,3
2658,C142,Ruta NUEVO CORINTO - SAN CRISTOBAL NORTE,3
2659,C142,Ruta SAN CRISTOBAL NORTE - NUEVO CORINTO,3
2660,18-3,Ruta AUTONORTE EST. TERMINAL - GERMANIA,3
2662,544B,Ruta MARANTA - TEUSAQUILLO,3
2663,634,Ruta BOSA SAN DIEGO - CALLE 183,3
2664,781,Ruta MIRANDELA - BOSA SAN JOSE,3
2665,781,Ruta BOSA SAN JOSE - MIRANDELA,3
2666,782,Ruta BOSA SAN JOSE - MIRANDELA,3
2667,782,Ruta MIRANDELA - BOSA SAN JOSE,3
2669,912,Ruta LA RIVERA - LIJACA,3
2671,787A,Ruta METROVIVIENDA - TEUSAQUILLO,3
2672,C701,Ruta METROVIVIENDA - RESTREPO,3
2673,801,Ruta SABANA DEL DORADO - TIBABITA,3
2675,18-12.8,Ruta EL PARAISO - BOSQUE CALDERON,3
2767,T55,Ruta PORTAL NORTE - PORTAL SUBA,3
2676,TC19,Ruta PORTAL TUNAL - RECUERDO SUR,3
2747,19-1,Ruta ALCALA - AK 7,3
2769,114A,Ruta ALTOS DEL ZUQUE - PALOQUEMAO,3
2739,N11,Ruta AV. ROJAS - TINTAL,3
2677,P7,Ruta PORVENIR - PINARES,3
2740,N11,Ruta TINTAL - AV. ROJAS,3
2678,P7,Ruta PINARES - PORVENIR,3
2679,403B,Ruta SABANA DEL DORADO - UNICENTRO,3
2681,E44,Ruta EL UVAL - MIRANDELA,3
2683,661,Ruta PENINSULA - MIRANDELA,3
2684,442,Ruta SABANA DEL DORADO - VERBENAL,3
2685,2-11,Ruta PORTAL NORTE - ANDALUCIA,3
2689,403A,Ruta UNICENTRO - SABANA DEL DORADO,3
2690,T163,Ruta CALLE 222 - PERDOMO,3
2691,E46,Ruta VERBENAL - METROVIVIENDA,3
2692,Z8,Ruta SAN CRIST4BAL NORTE - METROVIVIENDA,3
2693,634,Ruta CALLE 183 - BOSA SAN DIEGO,3
2694,661,Ruta MIRANDELA - PENINSULA,3
2695,402,Ruta AUTO NORTE EST. TERMINAL - SABANA DEL DORADO,3
2696,912,Ruta LIJACA - LA RIVERA,3
2697,801,Ruta TIBABITA - SABANA DEL DORADO,3
2698,442,Ruta VERBENAL - SABANA DEL DORADO,3
2701,E57,Ruta CASA BLANCA - EL UVAL,3
2703,639,Ruta CALLE 182 - SANTO DOMINGO,3
2705,192,Ruta CATALINA - UNICENTRO,3
2706,T54,Ruta BIBLIOTECA TINTAL - TIERRA BUENA,3
2709,C120,Ruta VILLAS DE GRANADA - HORACIO ORJUELA,3
2710,C120,Ruta HORACIO ORJUELA - VILLAS DE GRANADA,3
2711,112A,Ruta GALERIAS - PORVENIR,3
2713,165,Ruta ARBORIZADORA ALTA - JARDINES DEL RECUERDO,3
2714,576,Ruta BOSA SANTA FE - ENGATIVA CENTRO,3
2715,576,Ruta ENGATIVA CENTRO - BOSA SANTA FE,3
2716,172,Ruta PORVENIR - LAS AGUAS,3
2717,188,Ruta BOSA SANTAFE - PALOQUEMAO,3
2718,927,Ruta BOSA SAN JOSE - BACHUE,3
2760,N16,Ruta AV 1 MAYO - GAVIOTAS,3
2719,94,Ruta BOSA SAN DIEGO - SUBA CORPAS,3
2720,9-1,Ruta PORTAL AMERICAS - CASABLANCA,3
2721,607,Ruta SAN ANTONIO NORTE - SAN BERNARDINO,3
2722,607,Ruta SAN BERNARDINO - SAN ANTONIO NORTE,3
2723,165,Ruta JARDINES DEL RECUERDO - ARBORIZADORA ALTA,3
2724,C97,Ruta CERROS DE ORIENTE - MAZUREN,3
2725,C97,Ruta MAZUREN - CERROS DE ORIENTE,3
2726,E44,Ruta MIRANDELA - EL UVAL,3
2727,T21,Ruta CORPAS - CANTON NORTE,3
2728,111,Ruta METROVIVIENDA - SAN RAFAEL SUR ORIENTAL,3
2729,111,Ruta SAN RAFAEL SUR ORIENTAL - METROVIVIENDA,3
2730,P44,Ruta ARABIA - BOSA SANTA FE,3
2731,TC10,Ruta PORTAL NORTE - ABASTOS DEL NORTE,3
2732,C13,Ruta QUINTAS DEL SUR - MARLY,3
2734,C31,Ruta BOITA - CHAPINERO,3
2752,14-6,Ruta EL VERJON - EL VERJON,3
2770,T43A,Ruta GAVIOTAS - MUSEO NACIONAL,3
2764,Z4,Ruta METROVIVIENDA - TERMINAL NORTE,3
2765,Z4,Ruta TERMINAL NORTE - METROVIVIENDA,3
2766,T26,Ruta PALERMO SUR - COUNTRY CLUB,3
2762,191,Ruta METROVIVIENDA - UNICENTRO,3
2763,191,Ruta UNICENTRO - METROVIVIENDA,3
2733,59A,Ruta ISLA DEL SOL - CENTRO,3
2737,97,Ruta RINCON DE VENECIA - GALERIAS,3
2738,56A,Ruta ISLA DEL SOL - PORCIUNCULA,3
2735,C80,Ruta ISLA DEL SOL - LAS AGUAS,3
2736,E26A,Ruta RINCON DE VENECIA - PORCIUNCULA,3
2278,742,Ruta PARAISO - PORTAL NORTE,3
1704,742,Ruta PORTAL NORTE - PARAISO,3
2768,TC22,Ruta PORVENIR - PORTAL AMERICAS,3
